"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,3643855,-240,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,3643335,-520,28472.25,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,0,0,3643075,-260,28472.25,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,0,0,3642630,-445,28472.25,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,3642400,-230,28472.25,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,3641855,-545,28472.25,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,0,0,3641575,-280,28472.25,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,0,0,3640575,-1000,28472.25,0,4,1,4,1,1,1,,,1505,"upgradeHighestLevelAltar"
12522,0.3,1,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,3643855,-240,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,3643335,-520,28472.25,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,1,0,3643075,-260,28472.25,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,1,0,3642630,-445,28472.25,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,3642400,-230,28472.25,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,3641855,-545,28472.25,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,1,0,3641575,-280,28472.25,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,1,0,3640575,-1000,28472.25,0,4,1,4,1,1,1,,,1505,"upgradeHighestLevelAltar"
12522,0.3,2,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,2,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,2,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,2,0,3643855,-240,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,2,0,3643335,-520,28472.25,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,2,0,3643075,-260,28472.25,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,2,0,3642630,-445,28472.25,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,2,0,3642400,-230,28472.25,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,2,0,3641855,-545,28472.25,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,2,0,3641575,-280,28472.25,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,3,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
